UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY-RESIDENCE,090302128,01/30/2009,2187 BOLTON DR NW,204,Bolton,D,33.81613,-84.44189,
ROBBERY-RESIDENCE,090290972,01/29/2009,76 HAYGOOD AVE,304,Peoplestown,V,33.72654,-84.38613,
ROBBERY-RESIDENCE,090291416,01/29/2009,3804 MARTIN LUTHER KING JR. DRIVE,114,Old Gordon,H,33.76797,-84.51322,
ROBBERY-RESIDENCE,090281842,01/28/2009,2591 ETHERIDGE DR NW,113,Carey Park,G,33.7881,-84.47292,
ROBBERY-RESIDENCE,090270166,01/27/2009,238  WALKER ST SW,507,Castleberry Hill,M,33.74875,-84.40229,
ROBBERY-RESIDENCE,090270924,01/27/2009,948 FAIRBURN RD NW,114,Carroll Heights,H,33.77952,-84.50338,
ROBBERY-RESIDENCE,090260987,01/26/2009,3200 LENOX RD NE,210,Pine Hills,B,33.84221,-84.35822,
ROBBERY-RESIDENCE,090261252,01/26/2009,594 WIMBLEDON RD NE;,212,Piedmont Heights,F,33.80656,-84.36741,
ROBBERY-RESIDENCE,090200027,01/20/2009,1700 BRAEBURN DR SE,612,East Atlanta,W,33.73525,-84.33215,
ROBBERY-RESIDENCE,090191520,01/19/2009,565 GREENSFERRY AVE SW,101,The Villages at Castleberry H,T,33.74651,-84.40675,
ROBBERY-RESIDENCE,090170481,01/17/2009,1135 WOODLAND AVE NE;,213,Lindridge/Martin Manor,F,33.81467,-84.35042,
ROBBERY-RESIDENCE,090150316,01/15/2009,205 HOLTZCLAW ST SE,606,Reynoldstown,N,33.74858,-84.35688,
ROBBERY-RESIDENCE,090150692,01/15/2009,3804 MARTIN L KING JR DR SW,114,Old Gordon,H,33.76797,-84.51322,
ROBBERY-RESIDENCE,090152252,01/15/2009,686 THOMASVILLE BLVD SE,308,Thomasville Heights,Z,33.70422,-84.36588,
ROBBERY-RESIDENCE,090132038,01/13/2009,906 ALLENE AVE SW,301,Adair Park,V,33.73031,-84.41347,
ROBBERY-RESIDENCE,090130373,01/13/2009,1725 HORTENSE PL NW,110,Grove Park,J,33.77626,-84.44293,
ROBBERY-RESIDENCE,090101995,01/10/2009,386 PARKWAY DR NE,603,Old Fourth Ward,M,33.76504,-84.37362,
ROBBERY-RESIDENCE,090102065,01/10/2009,1878 LISBON DR SW,306,Sylvan Hills,X,33.70343,-84.41337,
ROBBERY-RESIDENCE,090092055,01/09/2009,984 WILKES CIR NW,113,Brookview Heights,G,33.78167,-84.47785,
ROBBERY-RESIDENCE,090082230,01/08/2009,50 SPRINGSIDE DR SE,312,Glenrose Heights,Z,33.67654,-84.38749,
ROBBERY-RESIDENCE,090071923,01/07/2009,2637 OLD HAPEVILLE RD,310,Browns Mill Park,Z,33.68294,-84.39417,
ROBBERY-RESIDENCE,090061788,01/06/2009,3112 ARBOR GATES DR NE,210,Pine Hills,B,33.82674,-84.35888,
ROBBERY-RESIDENCE,090040004,01/04/2009,2585 BEELER DR SW,309,Perkerson,X,33.6841,-84.4012,
ROBBERY-RESIDENCE,090040287,01/04/2009,1266 VAN ALLEN MEWS NW,203,Blandtown,D,33.79127,-84.42915,
ROBBERY-RESIDENCE,090040538,01/04/2009,674 EMILY PL NW,107,Grove Park,J,33.77339,-84.45252,
ROBBERY-RESIDENCE,090030733,01/03/2009,1397 ELIZABETH AVE SW,403,Venetian Hills,S,33.7161,-84.43585,
ROBBERY-RESIDENCE,090020878,01/02/2009,1200 GLENWOOD AVE SE,612,East Atlanta,W,33.74026,-84.34831,
ROBBERY-RESIDENCE,090011535,01/01/2009,1245 DONNELLY AVE SW,402,West End,T,33.73388,-84.42812,
